,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
335,Alta,NO,69.9689,23.2717,33.8,55,40,24.16,scattered clouds
336,Gorele,TR,41.0308,39.0031,51.8,93,40,6.91,scattered clouds
337,Sucua,EC,-2.4667,-78.1667,75.2,78,75,5.75,light rain
338,Stokmarknes,NO,68.5646,14.9108,35.6,93,90,10.36,light snow
339,Sakakah,SA,29.9697,40.2064,75.2,12,0,5.75,clear sky
340,Honningsvag,NO,70.9821,25.9704,33.8,75,75,43.73,light snow
341,Key Largo,US,25.0865,-80.4473,80.01,65,1,10.0,clear sky
342,Kuytun,RU,54.3419,101.5036,28.72,95,91,6.87,light snow
343,Comodoro Rivadavia,AR,-45.8667,-67.5,62.6,67,40,12.66,scattered clouds
344,Andenes,NO,69.3143,16.1194,34.0,86,75,11.5,snow
